area,bb_distance,bb_volume,compactness,diameter,distance_to_origin,eccentricity,face_type,filename,label,n_faces,n_vertices,rectangularity,sphericity,surface_area,volume,
0.496083,1.154274,0.111755,11.485338,1.000334,0.041590,0.033795,tri,61.off,Airplane,10796,5400,0.086749,0.087068,0.496083,0.009695,
0.543038,1.309881,0.151374,7.099624,1.000443,0.009317,0.042854,tri,62.off,Airplane,11234,5619,0.093293,0.140853,0.543038,0.014122,
0.543381,1.331562,0.152284,8.075918,1.000071,0.015036,0.043918,tri,63.off,Airplane,11034,5519,0.087032,0.123825,0.543381,0.013254,
0.663323,1.318774,0.184175,10.529119,1.003996,0.048003,0.031834,tri,64.off,Airplane,13590,6797,0.085003,0.094975,0.663323,0.015655,
0.625775,1.416334,0.191623,12.683717,1.000026,0.078806,0.027900,tri,65.off,Airplane,12892,6448,0.068207,0.078841,0.625775,0.013070,
0.742940,1.338951,0.156082,22.947054,1.007412,0.088231,0.016158,tri,66.off,Airplane,15474,7739,0.080536,0.043579,0.742940,0.012570,
0.778812,1.375682,0.228467,12.445517,1.016701,0.078936,0.030219,tri,67.off,Airplane,15298,7651,0.080185,0.080350,0.778812,0.018320,
0.553691,1.300296,0.179645,15.079168,1.005892,0.089123,0.030188,tri,68.off,Airplane,11162,5583,0.055536,0.066317,0.553691,0.009977,
0.623554,1.260536,0.130231,13.598672,1.000101,0.057889,0.027749,tri,69.off,Airplane,13398,6701,0.096410,0.073537,0.623554,0.012556,
0.515527,1.186321,0.127926,20.854458,1.002407,0.036033,0.013254,tri,70.off,Airplane,11258,5631,0.059579,0.047951,0.515527,0.007622,
0.556434,1.304414,0.161228,12.065605,1.000097,0.038175,0.036313,tri,71.off,Airplane,11694,5849,0.069691,0.082880,0.556434,0.011236,
0.490699,1.252105,0.131912,14.315446,1.000124,0.053142,0.023774,tri,72.off,Airplane,10452,5228,0.064761,0.069855,0.490699,0.008543,
0.482838,1.300120,0.154471,13.185568,1.000261,0.051656,0.024947,tri,73.off,Airplane,10214,5109,0.056244,0.075840,0.482838,0.008688,
0.482432,1.234233,0.132555,10.423734,1.000035,0.040789,0.024966,tri,74.off,Airplane,10084,5044,0.073624,0.095935,0.482432,0.009759,
0.856401,1.399919,0.175061,15.794970,1.010055,0.067891,0.028891,tri,75.off,Airplane,17354,8679,0.107112,0.063311,0.856401,0.018751,
