bb_center,bb_max,bb_min,centroid,face_type,filename,label,n_faces,n_vertices,
"0.007483
0.076983
0.032533","0.507483
0.345652
0.136144","-0.492517
-0.191687
-0.071077","0.003741
0.038491
0.016267",tri,61.off,Airplane,43184,21594,
"-0.002178
0.006110
0.017324","0.497822
0.419406
0.108924","-0.502178
-0.407185
-0.074276","-0.001090
0.003055
0.008662",tri,62.off,Airplane,44936,22470,
"0.019611
0.002675
0.023279","0.450187
0.502675
0.111624","-0.410966
-0.497325
-0.065066","0.009805
0.001337
0.011639",tri,63.off,Airplane,44136,22070,
"-0.055236
0.001976
0.076946","0.444764
0.417141
0.187291","-0.555236
-0.413188
-0.033399","-0.027618
0.000988
0.038473",tri,64.off,Airplane,54360,27182,
"-0.151701
0.006810
0.038777","0.340139
0.506809
0.136153","-0.643540
-0.493190
-0.058598","-0.075850
0.003405
0.019389",tri,65.off,Airplane,51568,25786,
"0.166861
-0.000013
0.053781","0.666861
0.436645
0.143202","-0.333139
-0.436671
-0.035640","0.083430
-0.000007
0.026890",tri,66.off,Airplane,61896,30950,
"-0.103596
0.000180
0.118608","0.396404
0.455836
0.244100","-0.603596
-0.455476
-0.006883","-0.051798
0.000090
0.059304",tri,67.off,Airplane,61192,30598,
"0.071350
0.131352
0.096019","0.571350
0.531264
0.208012","-0.428650
-0.268559
-0.015973","0.035675
0.065676
0.048010",tri,68.off,Airplane,44648,22326,
"0.016961
0.099750
0.057157","0.516961
0.473530
0.144186","-0.483039
-0.274031
-0.029871","0.008480
0.049874
0.028579",tri,69.off,Airplane,53592,26798,
"0.006818
-0.025258
0.067203","0.506818
0.275259
0.172870","-0.493182
-0.325776
-0.038464","0.003409
-0.012628
0.033600",tri,70.off,Airplane,45032,22518,
"-0.022826
0.007336
0.072592","0.383796
0.507336
0.171593","-0.429448
-0.492664
-0.026409","-0.011413
0.003668
0.036295",tri,71.off,Airplane,46776,23390,
"0.005205
-0.067106
0.082089","0.505205
0.298540
0.172239","-0.494795
-0.432753
-0.008061","0.002603
-0.033554
0.041045",tri,72.off,Airplane,41808,20906,
"0.011281
-0.084415
0.057871","0.511281
0.319644
0.153420","-0.488719
-0.488474
-0.037679","0.005641
-0.042208
0.028936",tri,73.off,Airplane,40856,20430,
"0.006536
0.067170
0.044648","0.506536
0.416022
0.139525","-0.493464
-0.281682
-0.050229","0.003268
0.033586
0.022324",tri,74.off,Airplane,40336,20170,
"-0.132868
-0.001433
-0.025671","0.367132
0.479845
0.065310","-0.632868
-0.482711
-0.116652","-0.066435
-0.000716
-0.012836",tri,75.off,Airplane,69416,34710,
"-0.070683
0.006530
0.065740","0.429317
0.407812
0.184639","-0.570683
-0.394752
-0.053158","-0.035341
0.003265
0.032870",tri,76.off,Airplane,47368,23686,
"-0.097645
0.000851
0.088644","0.402355
0.489797
0.202951","-0.597645
-0.488094
-0.025663","-0.048823
0.000426
0.044322",tri,77.off,Airplane,52680,26342,
"-0.051679
0.000983
0.154818","0.448321
0.484754
0.289489","-0.551679
-0.482789
0.020147","-0.025839
0.000491
0.077409",tri,78.off,Airplane,59744,29874,
"0.086658
0.004758
0.181393","0.586658
0.455593
0.337461","-0.413342
-0.446078
0.025325","0.043327
0.002379
0.090692",tri,79.off,Airplane,53496,26750,
"-0.020412
0.060018
0.156330","0.431233
0.560018
0.298934","-0.472057
-0.439982
0.013727","-0.010206
0.030009
0.078164",tri,80.off,Airplane,58792,29398,
"0.045079
0.033161
0.032198","0.545079
0.314817
0.254551","-0.454921
-0.248495
-0.190156","0.022540
0.016581
0.016099",tri,100.off,Ant,64496,32250,
"0.074021
-0.011465
0.120590","0.574021
0.262661
0.323421","-0.425979
-0.285591
-0.082240","0.037010
-0.005732
0.060295",tri,81.off,Ant,50944,25474,
"0.019453
0.060651
0.181320","0.519453
0.362973
0.423287","-0.480547
-0.241671
-0.060647","0.009726
0.030326
0.090661",tri,82.off,Ant,66376,33190,
"0.035201
0.075268
0.084474","0.535201
0.365504
0.251025","-0.464799
-0.214968
-0.082077","0.017600
0.037634
0.042237",tri,83.off,Ant,50992,25498,
"0.139840
0.021783
0.084085","0.639840
0.272656
0.373787","-0.360160
-0.229090
-0.205618","0.069919
0.010891
0.042042",tri,84.off,Ant,54784,27394,
"0.075574
0.058616
0.050655","0.575574
0.393902
0.216320","-0.424426
-0.276670
-0.115010","0.037787
0.029308
0.025327",tri,85.off,Ant,67088,33546,
"0.048558
0.123838
0.028773","0.548558
0.360799
0.205756","-0.451442
-0.113123
-0.148209","0.024279
0.061919
0.014387",tri,86.off,Ant,56288,28146,
"-0.044110
0.078949
0.113351","0.455890
0.406002
0.399113","-0.544110
-0.248105
-0.172410","-0.022055
0.039474
0.056676",tri,87.off,Ant,59744,29874,
"0.072786
-0.023336
0.118539","0.572787
0.399564
0.386958","-0.427214
-0.446236
-0.149879","0.036393
-0.011668
0.059270",tri,88.off,Ant,65664,32834,
"0.012893
0.037760
0.059882","0.512893
0.320052
0.224939","-0.487107
-0.244532
-0.105176","0.006446
0.018880
0.029941",tri,89.off,Ant,61216,30610,
"-0.010749
0.060591
0.066578","0.489251
0.371827
0.299126","-0.510749
-0.250644
-0.165969","-0.005374
0.030296
0.033289",tri,90.off,Ant,63000,31502,
"0.088826
0.041131
0.072761","0.588826
0.368074
0.332302","-0.411174
-0.285811
-0.186779","0.044413
0.020566
0.036381",tri,91.off,Ant,69104,34554,
"-0.020795
0.035636
0.063875","0.479205
0.284107
0.228761","-0.520795
-0.212836
-0.101011","-0.010398
0.017818
0.031937",tri,92.off,Ant,46920,23462,
"-0.030509
0.019318
0.051611","0.469491
0.432452
0.221952","-0.530509
-0.393817
-0.118731","-0.015254
0.009659
0.025805",tri,93.off,Ant,65728,32864,
"0.099984
-0.013458
0.048422","0.599984
0.425450
0.197475","-0.400016
-0.452366
-0.100631","0.049992
-0.006729
0.024211",tri,94.off,Ant,57872,28938,
"0.055124
0.058266
0.023163","0.555124
0.386004
0.169459","-0.444876
-0.269471
-0.123133","0.027561
0.029133
0.011582",tri,95.off,Ant,58824,29414,
"0.054119
0.129129
-0.003652","0.554119
0.538544
0.107319","-0.445881
-0.280286
-0.114622","0.027059
0.064565
-0.001826",tri,96.off,Ant,68016,34010,
"0.052562
0.019563
0.002472","0.552562
0.348767
0.113805","-0.447438
-0.309640
-0.108861","0.026281
0.009782
0.001236",tri,97.off,Ant,65320,32662,
"0.032998
0.066391
0.114342","0.532998
0.289328
0.315446","-0.467002
-0.156546
-0.086763","0.016499
0.033195
0.057170",tri,98.off,Ant,49216,24610,
"0.085605
-0.038091
0.062292","0.585605
0.317033
0.265184","-0.414395
-0.393215
-0.140600","0.042803
-0.019045
0.031146",tri,99.off,Ant,55032,27518,
"0.145203
0.003802
-0.019686","0.645203
0.453017
0.205619","-0.354797
-0.445412
-0.244991","0.072601
0.001901
-0.009843",tri,281.off,Armadillo,50542,25273,
"0.073912
0.069022
-0.039394","0.573912
0.372254
0.194182","-0.426088
-0.234210
-0.272970","0.036956
0.034511
-0.019697",tri,282.off,Armadillo,48942,24473,
"-0.021377
0.066385
-0.004070","0.478623
0.289386
0.170929","-0.521377
-0.156616
-0.179069","-0.010688
0.033192
-0.002035",tri,283.off,Armadillo,48964,24484,
"0.194267
0.173438
0.064077","0.694267
0.550144
0.365665","-0.305733
-0.203268
-0.237512","0.097134
0.086719
0.032038",tri,284.off,Armadillo,50984,25494,
