bb_center,bb_max,bb_min,centroid,face_type,filename,label,n_faces,n_vertices,
"0.063312
0.007131
-0.046375","0.600142
0.988283
0.119233","-0.473518
-0.974022
-0.211983","-0.009974
0.000068
-0.003177",tri,61.off,Airplane,43184,21594,
"0.005271
0.068755
0.033637","0.811067
0.291365
0.997300","-0.800525
-0.153854
-0.930027","-0.000651
-0.001968
0.019062",tri,62.off,Airplane,44936,22470,
"0.002072
0.076767
0.003541","0.998595
0.277715
0.851868","-0.994451
-0.124181
-0.844787","-0.000606
-0.000906
0.011526",tri,63.off,Airplane,44136,22070,
"0.001696
0.079632
0.098510","0.769780
0.998628
0.342228","-0.766387
-0.839364
-0.145207","-0.000427
0.018783
-0.002735",tri,64.off,Airplane,54360,27182,
"-0.152897
0.005822
0.032198","0.693322
0.867563
0.213334","-0.999117
-0.855918
-0.148938","-0.020854
-0.000174
-0.003395",tri,65.off,Airplane,51568,25786,
"-0.155294
0.000002
0.057809","0.684922
0.737841
0.219138","-0.995511
-0.737837
-0.103520","-0.011735
-0.000174
-0.001231",tri,66.off,Airplane,61896,30950,
"-0.115003
-0.000115
0.126182","0.767014
0.810988
0.361208","-0.997020
-0.811219
-0.108844","-0.016449
-0.000148
-0.000748",tri,67.off,Airplane,61192,30598,
"-0.144810
0.009006
0.100923","0.557377
0.896424
0.299302","-0.846997
-0.878413
-0.097457","-0.018684
-0.000913
-0.000813",tri,68.off,Airplane,44648,22326,
"0.090672
0.005932
0.078983","0.800522
0.954331
0.267801","-0.619177
-0.942466
-0.109835","-0.005256
-0.000109
-0.000587",tri,69.off,Airplane,53592,26798,
"-0.033792
0.006614
0.038096","0.559610
0.998820
0.247932","-0.627193
-0.985593
-0.171741","-0.002797
-0.000151
-0.001579",tri,70.off,Airplane,45032,22518,
"-0.032402
0.007220
0.094735","0.772445
0.996234
0.312948","-0.837248
-0.981795
-0.123477","-0.011182
-0.000500
-0.002000",tri,71.off,Airplane,46776,23390,
"-0.076263
0.004771
0.096340","0.647258
0.993648
0.285380","-0.799784
-0.984106
-0.092700","-0.009972
-0.000422
-0.001495",tri,72.off,Airplane,41808,20906,
"-0.104416
0.006258
0.075697","0.684046
0.983629
0.273324","-0.892878
-0.971114
-0.121931","-0.021244
-0.000961
-0.002334",tri,73.off,Airplane,40856,20430,
"-0.080189
0.004425
0.068610","0.600599
0.983044
0.265399","-0.760976
-0.974194
-0.128179","-0.013837
-0.000700
-0.002116",tri,74.off,Airplane,40336,20170,
"-0.124810
0.004650
0.014968","0.748825
0.840379
0.156789","-0.998445
-0.831079
-0.126852","-0.010963
-0.000097
0.001270",tri,75.off,Airplane,69416,34710,
