area,bb_distance,bb_volume,compactness,diameter,distance_to_origin,eccentricity,face_type,filename,label,n_faces,n_vertices,rectangularity,sphericity,surface_area,volume,
1.915367,2.264942,0.700764,11.485378,1.965593,0.000000,0.033795,tri,61,Airplane,10796,5400,0.104956,0.087067,1.915367,0.073549,
2.069675,2.553690,1.385770,7.099548,1.953122,0.000000,0.042854,tri,62,Airplane,11234,5619,0.075826,0.140854,2.069675,0.105078,
2.161599,2.650148,1.361955,8.075594,1.994663,0.000000,0.043918,tri,63,Airplane,11034,5519,0.077212,0.123830,2.161599,0.105160,
2.279625,2.448768,1.390468,10.529121,1.861236,0.000000,0.031834,tri,64,Airplane,13590,6797,0.071732,0.094975,2.279625,0.099741,
1.860338,2.444257,1.058283,12.684039,1.724241,0.000000,0.027900,tri,65,Airplane,12892,6448,0.063304,0.078839,1.860338,0.066994,
2.128022,2.261837,0.802200,22.946985,1.704977,0.000000,0.016158,tri,66,Airplane,15474,7739,0.075961,0.043579,2.128022,0.060936,
2.477439,2.446431,1.351758,12.445521,1.813335,0.000000,0.030219,tri,67,Airplane,15298,7651,0.076891,0.080350,2.477439,0.103937,
1.724387,2.298890,0.993649,15.079251,1.775150,0.000000,0.030188,tri,68,Airplane,11162,5583,0.055183,0.066316,1.724387,0.054832,
2.249788,2.401083,1.018567,13.598460,1.899663,0.000001,0.027749,tri,69,Airplane,13398,6701,0.084480,0.073538,2.249788,0.086048,
2.030202,2.350990,0.994813,20.852720,1.989253,0.000000,0.013254,tri,70,Airplane,11258,5631,0.059877,0.047955,2.030202,0.059566,
2.177644,2.588099,1.390548,12.065850,1.978459,0.000000,0.036313,tri,71,Airplane,11694,5849,0.062559,0.082879,2.177644,0.086991,
1.921643,2.481169,1.083659,14.315234,1.979171,0.000000,0.023774,tri,72,Airplane,10452,5228,0.061093,0.069856,1.921643,0.066204,
1.848653,2.545741,1.221789,13.185294,1.957233,0.000000,0.024947,tri,73,Airplane,10214,5109,0.053274,0.075842,1.848653,0.065090,
1.849676,2.417905,1.050467,10.423570,1.958149,0.000000,0.024966,tri,74,Airplane,10084,5044,0.069747,0.095936,1.849676,0.073267,
2.595343,2.436832,0.829978,15.794916,1.758343,0.000000,0.028891,tri,75,Airplane,17354,8679,0.119190,0.063312,2.595343,0.098925,
1.994030,2.396872,1.229753,8.581429,1.850828,0.000000,0.026596,tri,76,Airplane,11842,5923,0.073498,0.116531,1.994030,0.090384,
2.053611,2.539665,1.409318,12.455124,1.811849,0.000000,0.027815,tri,77,Airplane,13170,6587,0.055638,0.080288,2.053611,0.078411,
2.406270,2.638597,1.991263,16.411177,1.903021,0.000001,0.026223,tri,78,Airplane,14936,7470,0.043510,0.060934,2.406270,0.086640,
2.407605,2.572849,1.748989,17.232222,1.952222,0.000001,0.044844,tri,79,Airplane,13374,6689,0.048383,0.058031,2.407605,0.084622,
2.554332,2.526500,1.600896,17.384649,1.922656,0.000000,0.040855,tri,80,Airplane,14698,7351,0.057510,0.057522,2.554332,0.092068,
2.366410,2.132318,1.362292,14.191619,1.725156,0.000000,0.172954,tri,100,Ant,16124,8064,0.066699,0.070464,2.366410,0.090864,
2.175357,2.160588,1.196185,10.260402,1.838223,0.000000,0.115342,tri,81,Ant,12736,6370,0.078739,0.097462,2.175357,0.094186,
2.778508,2.312649,1.919567,9.950972,1.848892,0.000000,0.141468,tri,82,Ant,16594,8299,0.071921,0.100493,2.778508,0.138057,
2.328752,2.255027,1.262644,9.617195,1.909972,0.000000,0.073452,tri,83,Ant,12748,6376,0.085340,0.103980,2.328752,0.107754,
2.215585,2.170977,1.437864,11.855402,1.794400,0.000000,0.158368,tri,84,Ant,13696,6850,0.062637,0.084350,2.215585,0.090063,
2.689466,2.151016,1.165613,11.100110,1.896394,0.000000,0.047247,tri,85,Ant,16772,8388,0.106796,0.090089,2.689466,0.124483,
2.445923,2.108106,0.977779,8.585057,1.870441,0.000000,0.116659,tri,86,Ant,14072,7038,0.125553,0.116481,2.445923,0.122763,
2.663820,2.370847,1.931740,8.546426,1.907979,0.000001,0.106663,tri,87,Ant,14936,7470,0.072392,0.117008,2.663820,0.139842,
2.847318,2.577177,2.794434,10.389457,1.861511,0.000000,0.141727,tri,88,Ant,16416,8210,0.050158,0.096251,2.847318,0.140162,
2.581565,2.175295,1.184849,14.071213,1.852446,0.000000,0.074471,tri,89,Ant,15304,7654,0.087755,0.071067,2.581565,0.103976,
2.697026,2.286140,1.705138,10.697749,1.836666,0.000000,0.153442,tri,90,Ant,15750,7877,0.074679,0.093478,2.697026,0.127337,
2.869972,2.303946,1.855826,9.783684,1.822145,0.000000,0.144692,tri,91,Ant,17276,8640,0.078759,0.102211,2.869972,0.146164,
2.189544,2.212068,1.051547,8.958016,1.946821,0.000000,0.068401,tri,92,Ant,11730,5867,0.096799,0.111632,2.189544,0.101788,
2.849591,2.503503,2.028502,8.651578,1.896455,0.000000,0.089096,tri,93,Ant,16432,8216,0.075810,0.115586,2.849591,0.153780,
2.276852,2.364179,1.599029,14.714706,1.828166,0.000001,0.047979,tri,94,Ant,14468,7236,0.052668,0.067959,2.276852,0.084217,
2.445673,2.188119,1.012808,8.763905,1.881393,0.000000,0.046664,tri,95,Ant,14706,7355,0.119949,0.114104,2.445673,0.121485,
2.591286,2.308895,1.723677,14.320402,1.874833,0.000000,0.042429,tri,96,Ant,17004,8504,0.060133,0.069830,2.591286,0.103650,
2.510806,2.049093,0.714159,13.972573,1.844648,0.000000,0.049451,tri,97,Ant,16330,8167,0.140139,0.071569,2.510806,0.100082,
2.316683,2.226404,1.287825,8.032640,1.934171,0.000000,0.080534,tri,98,Ant,12304,6154,0.090842,0.124492,2.316683,0.116989,
2.217966,2.290468,1.690025,14.422262,1.812800,0.000000,0.094107,tri,99,Ant,13758,6881,0.048395,0.069337,2.217966,0.081788,
3.043371,2.144886,1.874513,7.634628,1.715321,0.000000,0.254061,tri,281,Armadillo,50542,25273,0.096388,0.130982,3.043371,0.180681,
3.289129,2.074364,1.346295,7.810974,1.824841,0.000000,0.175082,tri,282,Armadillo,48942,24473,0.149074,0.128025,3.289129,0.200698,
2.609729,2.278162,1.557882,8.794981,1.989656,0.000000,0.070619,tri,283,Armadillo,48964,24484,0.085805,0.113701,2.609729,0.133675,
3.408711,2.316117,2.328428,7.520616,1.657751,0.000000,0.360863,tri,284,Armadillo,50984,25494,0.092677,0.132968,3.408711,0.215791,
3.813829,2.349005,2.292225,7.936963,1.725436,0.000000,0.215396,tri,285,Armadillo,50382,25193,0.108450,0.125993,3.813829,0.248593,
4.577670,2.296097,2.329231,8.839874,1.699723,0.000000,0.480688,tri,286,Armadillo,50212,25108,0.132986,0.113124,4.577670,0.309754,
4.267063,2.455314,2.825786,8.563139,1.859412,0.000000,0.283168,tri,287,Armadillo,50978,25491,0.100233,0.116780,4.267063,0.283238,
4.398587,2.499817,3.002240,8.091810,1.757949,0.000000,0.504671,tri,288,Armadillo,39996,20000,0.101572,0.123582,4.398587,0.304944,
3.631512,2.767256,3.978633,8.562736,1.839606,0.000000,0.369223,tri,289,Armadillo,50418,25211,0.055894,0.116785,3.631512,0.222382,
2.845741,2.171580,1.879251,9.895473,1.941538,0.000000,0.216134,tri,290,Armadillo,50858,25431,0.076360,0.101056,2.845741,0.143499,
4.062045,2.292640,1.598192,7.414552,1.917102,0.000000,0.183146,tri,291,Armadillo,49226,24615,0.176897,0.134870,4.062045,0.282715,
3.062510,2.180805,1.978894,6.886442,1.666222,0.000000,0.230996,tri,292,Armadillo,43544,21774,0.097044,0.145213,3.062510,0.192040,
3.149471,2.083184,1.363494,6.806652,1.836128,0.000000,0.180608,tri,293,Armadillo,29996,15000,0.147744,0.146915,3.149471,0.201448,
2.338782,2.179432,1.175923,7.725127,1.960499,0.000000,0.065232,tri,294,Armadillo,32998,16501,0.102903,0.129448,2.338782,0.121006,
2.698116,2.126041,1.790141,5.507348,1.615826,0.000000,0.202382,tri,295,Armadillo,33556,16780,0.099199,0.181576,2.698116,0.177580,
3.573316,2.224905,1.787806,6.236458,1.777183,0.000000,0.130291,tri,296,Armadillo,31660,15832,0.142263,0.160347,3.573316,0.254338,
