bb_distance,distance_to_origin,face_type,filename,label,n_faces,n_vertices,surface_area,
1.152673,0.000000,tri,61.off,Airplane,10796,5400,0.496078,
1.323507,0.000000,tri,62.off,Airplane,11234,5619,0.555935,
1.328727,0.000000,tri,63.off,Airplane,11034,5519,0.543393,
1.331126,0.000000,tri,64.off,Airplane,13590,6797,0.673609,
1.417600,0.000000,tri,65.off,Airplane,12892,6448,0.625757,
1.343927,0.000000,tri,66.off,Airplane,15474,7739,0.751289,
1.384025,0.000001,tri,67.off,Airplane,15298,7651,0.792910,
1.295107,0.000001,tri,68.off,Airplane,11162,5583,0.547281,
1.264589,0.000001,tri,69.off,Airplane,13398,6701,0.624047,
1.184712,0.000000,tri,70.off,Airplane,11258,5631,0.515544,
1.308182,0.000001,tri,71.off,Airplane,11694,5849,0.556365,
1.253787,0.000000,tri,72.off,Airplane,10452,5228,0.490693,
1.300685,0.000000,tri,73.off,Airplane,10214,5109,0.482585,
1.234792,0.000000,tri,74.off,Airplane,10084,5044,0.482401,
1.393477,0.000000,tri,75.off,Airplane,17354,8679,0.848684,
1.307452,0.000000,tri,76.off,Airplane,11842,5923,0.593325,
1.421464,0.000000,tri,77.off,Airplane,13170,6587,0.643334,
1.446183,0.000001,tri,78.off,Airplane,14936,7470,0.722837,
1.317977,0.000001,tri,79.off,Airplane,13374,6689,0.631795,
1.314077,0.000000,tri,80.off,Airplane,14698,7351,0.691010,
1.268232,0.000000,tri,100.off,Ant,16124,8064,0.837110,
1.185028,0.000000,tri,81.off,Ant,12736,6370,0.654402,
1.297506,0.000000,tri,82.off,Ant,16594,8299,0.874601,
1.205447,0.000000,tri,83.off,Ant,12748,6376,0.665449,
1.240324,0.000000,tri,84.off,Ant,13696,6850,0.723182,
1.229483,0.000000,tri,85.off,Ant,16772,8388,0.878664,
1.154299,0.000000,tri,86.off,Ant,14072,7038,0.733324,
1.289374,0.000000,tri,87.off,Ant,14936,7470,0.787877,
1.411714,0.000000,tri,88.off,Ant,16416,8210,0.854357,
1.202709,0.000000,tri,89.off,Ant,15304,7654,0.789171,
1.266202,0.000000,tri,90.off,Ant,15750,7877,0.827347,
1.299275,0.000000,tri,91.off,Ant,17276,8640,0.912713,
1.158807,0.000000,tri,92.off,Ant,11730,5867,0.600866,
1.362130,0.000000,tri,93.off,Ant,16432,8216,0.843576,
1.371135,0.000000,tri,94.off,Ant,14468,7236,0.765831,
1.230732,0.000000,tri,95.off,Ant,14706,7355,0.773715,
1.361171,0.000000,tri,96.off,Ant,17004,8504,0.900603,
1.196200,0.000000,tri,97.off,Ant,16330,8167,0.855654,
1.173700,0.000000,tri,98.off,Ant,12304,6154,0.643833,
1.307009,0.000000,tri,99.off,Ant,13758,6881,0.722213,
1.615832,0.000000,tri,281.off,Armadillo,50542,25273,1.727185,
1.280425,0.000000,tri,282.off,Armadillo,48942,24473,1.253187,
1.212634,0.000000,tri,283.off,Armadillo,48964,24484,0.739409,
1.609362,0.000000,tri,284.off,Armadillo,50984,25494,1.645812,
1.515088,0.000001,tri,285.off,Armadillo,50382,25193,1.586617,
1.714018,0.000000,tri,286.off,Armadillo,50212,25108,2.550899,
1.651303,0.000000,tri,287.off,Armadillo,50978,25491,1.930048,
1.704710,0.000001,tri,288.off,Armadillo,39996,20000,2.045494,
1.541455,0.000000,tri,289.off,Armadillo,50418,25211,1.126810,
1.492942,0.000000,tri,290.off,Armadillo,50858,25431,1.345016,
1.214806,0.000000,tri,291.off,Armadillo,49226,24615,1.140481,
1.645505,0.000000,tri,292.off,Armadillo,43544,21774,1.743578,
1.280383,0.000000,tri,293.off,Armadillo,29996,15000,1.189768,
1.177335,0.000000,tri,294.off,Armadillo,32998,16501,0.682499,
1.515617,0.000001,tri,295.off,Armadillo,33556,16780,1.371186,
1.393260,0.000000,tri,296.off,Armadillo,31660,15832,1.401230,
1.612873,0.000000,tri,297.off,Armadillo,30626,15315,2.183001,
1.627332,0.000000,tri,298.off,Armadillo,29996,15000,1.806513,
1.702536,0.000000,tri,299.off,Armadillo,34230,17117,1.912099,
1.523036,0.000001,tri,300.off,Armadillo,34902,17453,1.065488,
1.086607,0.000000,tri,341.off,Bearing,3322,1663,0.755122,
1.086607,0.000000,tri,342.off,Bearing,3322,1663,0.755120,
1.086607,0.000000,tri,343.off,Bearing,3322,1663,0.755122,
1.168953,0.000000,tri,344.off,Bearing,6360,3182,1.307990,
1.173712,0.000000,tri,345.off,Bearing,7224,3614,1.314780,
1.175187,0.000000,tri,346.off,Bearing,7170,3587,1.314030,
1.131352,0.000000,tri,347.off,Bearing,5242,2623,1.285042,
1.023385,0.000000,tri,348.off,Bearing,5132,2568,0.476674,
1.023385,0.000000,tri,349.off,Bearing,5132,2568,0.476671,
1.023347,0.000000,tri,350.off,Bearing,17514,8759,0.472431,
1.077807,0.000000,tri,351.off,Bearing,10380,5192,0.774809,
1.078097,0.000000,tri,352.off,Bearing,20796,10400,0.781621,
1.042960,0.000000,tri,353.off,Bearing,3020,1512,0.421072,
1.077348,0.000000,tri,354.off,Bearing,5816,2910,0.615407,
1.015505,0.000000,tri,355.off,Bearing,29984,14994,0.409764,
1.015505,0.000000,tri,356.off,Bearing,29980,14992,0.409728,
1.011396,0.000000,tri,357.off,Bearing,29764,14872,0.465937,
1.470339,0.000002,tri,358.off,Bearing,28266,14127,1.586168,
1.470331,0.000001,tri,359.off,Bearing,29924,14956,1.586250,
1.038315,0.000000,tri,360.off,Bearing,4396,2200,0.654495,
1.228734,0.000000,tri,241.off,Bird,6952,3478,0.352214,
1.305916,0.000000,tri,242.off,Bird,15694,7849,0.856660,
1.070516,0.000000,tri,243.off,Bird,6312,3158,0.350325,
1.113479,0.000000,tri,244.off,Bird,8998,4501,0.449840,
1.288479,0.000000,tri,245.off,Bird,12946,6475,0.735928,
1.090406,0.000000,tri,246.off,Bird,8434,4219,0.429320,
1.203909,0.000000,tri,247.off,Bird,11034,5519,0.605306,
1.550009,0.000001,tri,248.off,Bird,23576,11790,1.327178,
1.131293,0.000000,tri,249.off,Bird,7424,3714,0.358899,
1.228795,0.000000,tri,250.off,Bird,8556,4280,0.461558,
1.070516,0.000000,tri,251.off,Bird,6312,3158,0.350325,
1.254502,0.000000,tri,252.off,Bird,12698,6351,0.733860,
1.350468,0.000001,tri,253.off,Bird,12324,6164,0.664519,
1.113035,0.000000,tri,254.off,Bird,7272,3638,0.381012,
1.172414,0.000000,tri,255.off,Bird,10104,5054,0.528490,
1.512622,0.000000,tri,256.off,Bird,11936,5970,0.693247,
1.126704,0.000000,tri,257.off,Bird,4266,2135,0.527938,
1.670244,0.000000,tri,258.off,Bird,17888,8946,1.538420,
1.386659,0.000000,tri,259.off,Bird,18026,9015,0.940880,
1.485849,0.000000,tri,260.off,Bird,4990,2497,1.400986,
1.210315,0.000000,tri,301.off,Bust,18500,9252,1.365846,
1.406479,0.000000,tri,302.off,Bust,50246,25125,1.950917,
1.506919,0.000000,tri,303.off,Bust,31028,15516,2.120763,
1.203042,0.000000,tri,304.off,Bust,50930,25467,1.191652,
1.548879,0.000000,tri,305.off,Bust,55644,27824,2.520646,
1.383005,0.000001,tri,306.off,Bust,53592,26798,1.653911,
1.650625,0.000000,tri,307.off,Bust,54874,27439,2.326237,
1.600755,0.000000,tri,308.off,Bust,47948,23976,2.515921,
1.520405,0.000000,tri,309.off,Bust,10390,5197,2.702857,
1.574514,0.000000,tri,310.off,Bust,16522,8263,2.373707,
1.382098,0.000000,tri,311.off,Bust,50456,25230,1.955544,
1.510523,0.000001,tri,312.off,Bust,53966,26985,2.121523,
